BJD,Norm Flux,Norm Err,AM
2458107.56985755,0.9999255,0.006597,1.13
2458107.571583,1.0058297,0.006597,1.12
2458107.57366684,1.0116967,0.006597,1.12
2458107.57574901,1.0043695,0.006598,1.11
2458107.57783077,1.0021874,0.006598,1.11
2458107.57991381,1.0064489,0.006598,1.1
2458107.58199629,0.9985312,0.006598,1.1
2458107.58407848,1.0128892,0.006598,1.1
2458107.5861724,1.0025329,0.006598,1.09
2458107.58825511,0.9961466,0.006598,1.09
2458107.59033714,0.9989889,0.006598,1.09
2458107.59241913,1.0023876,0.006598,1.08
2458107.59450115,1.0052979,0.006598,1.08
2458107.5965832,0.9890058,0.006598,1.08
2458107.59866487,0.9898761,0.006598,1.07
2458107.60074665,0.9973477,0.006598,1.07
2458107.60282802,0.9960231,0.006598,1.07
2458107.6049213,0.9908039,0.006598,1.06
2458107.60700271,1.0071763,0.006599,1.06
2458107.60908452,1.0086797,0.006599,1.06
2458107.61116677,1.0004673,0.006599,1.06
2458107.61325031,0.9967484,0.006599,1.06
2458107.61533278,0.996494,0.006599,1.05
2458107.61741544,0.9937624,0.006599,1.05
2458107.6194978,0.9955708,0.006599,1.05
2458107.62157939,1.0017456,0.006599,1.05
2458107.62366055,1.0085558,0.006599,1.05
2458107.62574204,1.0000745,0.006599,1.04
2458107.62783514,0.9995021,0.006599,1.04
2458107.62991755,0.9988483,0.006599,1.04
2458107.63199958,0.9964005,0.006599,1.04
2458107.63408167,1.0112559,0.006599,1.04
2458107.63616412,0.9991815,0.006599,1.04
2458107.63824699,1.0089699,0.006599,1.04
2458107.64032875,1.0120015,0.006599,1.04
2458107.64241084,1.0026479,0.006599,1.04
2458107.64449237,1.011748,0.006599,1.04
2458107.64657423,1.0028142,0.006599,1.04
2458107.64866838,0.9980435,0.006599,1.04
2458107.65074932,1.0010893,0.006599,1.04
2458107.65283222,1.0041332,0.006599,1.04
2458107.65491339,1.0058601,0.006599,1.04
2458107.65699601,1.0070817,0.006599,1.04
2458107.65907914,0.9743196,0.006599,1.04
2458107.66116044,0.9823457,0.006599,1.04
2458107.66324296,0.9781926,0.006599,1.04
2458107.66532406,0.9710883,0.006599,1.04
2458107.66741631,0.973061,0.006599,1.04
2458107.66949753,0.9792689,0.006599,1.04
2458107.67157799,0.9888912,0.006599,1.04
2458107.67365911,0.9842606,0.006599,1.04
2458107.67574047,0.9812369,0.006599,1.04
2458107.67783346,0.9812395,0.006599,1.04
2458107.67990696,0.9711797,0.006599,1.04
2458107.68199935,0.9752684,0.006599,1.05
2458107.68408014,0.9771299,0.006599,1.05
2458107.68616075,0.9714325,0.006599,1.05
2458107.68824213,0.977594,0.006599,1.05
2458107.69032353,0.9756038,0.006599,1.05
2458107.69240546,0.9735102,0.006599,1.06
2458107.69449882,0.979365,0.006599,1.06
2458107.6965796,0.9767641,0.006599,1.06
2458107.69866032,0.9778213,0.006599,1.06
2458107.70074103,0.9710017,0.006598,1.06
2458107.70282156,0.980342,0.006598,1.07
2458107.70491456,0.9831053,0.006598,1.07
2458107.70699529,0.9705946,0.006598,1.07
2458107.70907676,0.9661466,0.006598,1.08
2458107.71119537,0.9863583,0.006598,1.08
2458107.71324287,0.9741005,0.006598,1.08
2458107.71532405,0.9633522,0.006598,1.09
2458107.71740472,0.9672082,0.006598,1.09
2458107.71949739,0.9736991,0.006598,1.09
2458107.72157798,0.972265,0.006598,1.1
2458107.72365964,0.9800022,0.006598,1.1
2458107.72574062,0.9859457,0.006598,1.1
2458107.72782192,0.9736195,0.006598,1.11
2458107.72994147,0.9773349,0.006598,1.11
2458107.73198738,0.9759661,0.006597,1.12
2458107.73407954,0.9754812,0.006597,1.12
2458107.7361601,0.979898,0.006597,1.13
2458107.73824037,0.9683249,0.006597,1.13
2458107.7403208,0.9596746,0.006597,1.14
2458107.74241302,0.9789531,0.006597,1.14
2458107.74449196,0.9832089,0.006597,1.15
2458107.74865581,0.9711221,0.006597,1.16
2458107.75073753,0.9738706,0.006597,1.17
2458107.7528185,0.9752262,0.006597,1.17
2458107.75491114,0.9826717,0.006596,1.18
2458107.75699236,0.9691436,0.006596,1.18
2458107.75907386,0.9806186,0.006596,1.19
2458107.76115502,0.9793681,0.006596,1.2
2458107.76323561,0.9826456,0.006596,1.2
2458107.76532606,0.9804784,0.006596,1.21
2458107.76740625,0.9938279,0.006596,1.22
2458107.76948718,0.9987405,0.006595,1.23
2458107.77157815,1.0088643,0.006595,1.24
2458107.77365829,1.0000991,0.006595,1.24
2458107.77573766,0.9955946,0.006595,1.25
2458107.77781806,1.0021304,0.006595,1.26
2458107.77990846,1.0007227,0.006595,1.27
2458107.78198792,0.9940708,0.006595,1.28
2458107.78406716,0.9923667,0.006594,1.29
2458107.78615818,0.9875474,0.006594,1.3
2458107.7882376,0.9948905,0.006594,1.31
2458107.79031668,1.0043717,0.006594,1.32
2458107.79240768,0.9884021,0.006594,1.33
2458107.79448707,0.9900677,0.006593,1.34
2458107.79656643,0.9945478,0.006593,1.35
2458107.79865697,0.9992217,0.006593,1.36
2458107.8007358,0.9877301,0.006593,1.37
2458107.80282581,0.9894967,0.006593,1.38
2458107.80490497,0.9980502,0.006592,1.39
2458107.80698356,1.0116727,0.006592,1.41
2458107.80907425,0.9994072,0.006592,1.42
2458107.81115295,1.0048647,0.006592,1.43
2458107.81323203,0.9904077,0.006591,1.44
2458107.81532337,0.9914859,0.006591,1.46
2458107.81740257,1.0008038,0.006591,1.47
2458107.81948143,0.9978978,0.006591,1.49
2458107.82157178,0.992559,0.00659,1.5
2458107.82365082,1.0055579,0.00659,1.52
2458107.82574117,1.0061723,0.00659,1.53
2458107.8278207,1.0055255,0.00659,1.55
2458107.82990018,1.0043985,0.006589,1.57
2458107.83199018,0.9911656,0.006589,1.58
2458107.83406897,1.0034042,0.006589,1.6
2458107.83614734,0.9964711,0.006588,1.62
2458107.83823808,0.9971268,0.006588,1.64
2458107.84031703,1.0020758,0.006588,1.66
2458107.84240743,0.993441,0.006587,1.68
2458107.84448659,1.0062831,0.006587,1.7
2458107.84656601,1.0090619,0.006587,1.72
2458107.84864638,1.0002135,0.006586,1.74
2458107.85073671,1.009183,0.006586,1.76
2458107.8528165,1.0067798,0.006585,1.78
2458107.85489562,1.0022273,0.006585,1.81
2458107.85698607,0.9947334,0.006584,1.83
2458107.85907052,0.9967565,0.006584,1.86
2458107.86114956,0.9962303,0.006583,1.88
2458107.86322833,1.0087964,0.006583,1.91
